Mileage(Kilometer),Model(Year),Engine(True=Healthy),Chassis(True=Healthy),Description(False=Expensive),Price(Toman)
['۲۷۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۶۰٬۰۰۰٬۰۰۰']
['۲۱۵٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۶۵٬۰۰۰٬۰۰۰']
['۱۴۶٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۵۷٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۹۸٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۵۹٬۰۰۰٬۰۰۰ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۲۰۰٬۰۰۰٬۰۰۰']
['۲۹۹٬۰۰۰'],['۱۳۸۶'],True,True,True,['۲۱۵٬۰۰۰٬۰۰۰']
['۳۲۳٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۳۱۵٬۰۰۰'],['۱۳۸۲'],True,True,False,['۱۸۵٬۰۰۰٬۰۰۰']
['۶۴٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۱۱٬۱۱۱٬۱۱۱ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۱٬۱۱۱٬۱۱۱ تومانمبلغ هر قسط۱۱۱٬۱۱۱٬۱۱۱']
['۲۶٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۴۵٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۳۵۵٬۰۰۰٬۰۰۰']
['۱۳۰٬۰۰۰'],['۱۳۹۷'],True,True,False,['۳۸۵٬۰۰۰٬۰۰۰']
"['۳۷۲٬۰۰۰', ' واقعی و دست نخورده - فنی ماشین نسبت به ']",['۱۳۸۴'],True,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۱۲۱٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۶۵٬۰۰۰٬۰۰۰']
['۱۹۹٬۹۹۹'],['۱۳۸۹'],True,True,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۱۱۲٬۰۰۰'],['۱۳۹۵'],True,True,False,['۳۶۸٬۰۰۰٬۰۰۰']
['۳٬۳۵۰'],['۱۳۸۲'],True,True,True,['۱۰۱٬۰۱۰٬۱۰۱']
['۱۸۰٬۰۰۰'],['۱۳۸۶'],True,True,False,['۲۶۰٬۰۰۰٬۰۰۰']
['۱۳٬۳۰۰'],['۱۴۰۰'],True,True,True,['۴۵۶٬۰۰۰٬۰۰۰']
['۲۵۸٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۲۵٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۱۸۳٬۰۰۰'],['۱۳۸۷'],True,True,False,['۲۵۰٬۰۰۰٬۰۰۰']
['۲۸٬۴۵۹'],['۱۳۸۴'],True,True,False,['۲۲۰٬۰۰۰٬۰۰۰']
['۴۵٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۰۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],False,False,True,[]
['۱۹۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۸٬۶۰۰'],['۱۳۹۸'],True,True,False,['۴۲۰٬۰۰۰٬۰۰۰']
['۷۲٬۰۰۰'],['۱۳۹۷'],True,True,False,['۴۰۵٬۰۰۰٬۰۰۰']
['۴۷۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۰٬۰۰۰٬۰۰۰']
['۲ روز پیش در تهران، جمهوریزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۱۰٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۴۵٬۰۰۰٬۰۰۰']
['۱۹۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۴۰٬۰۰۰٬۰۰۰']
['۲۷۵٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۰۶٬۰۰۰٬۰۰۰']
['۵۶٬۰۰۰'],['۱۳۹۶'],True,True,False,['۳۷۷٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۵۰٬۰۰۰٬۰۰۰']
['۱۶٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۵۰٬۰۰۰٬۰۰۰']
['۲۴۳٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۸٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۸۸'],False,False,False,['۱۹۷٬۰۰۰٬۰۰۰']
['۴۴٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۲۰٬۰۰۰٬۰۰۰']
['۳۳۵٬۰۰۰'],['۱۳۸۳'],True,True,False,['۱۸۸٬۰۰۰٬۰۰۰']
['۱۵۰٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۴۲٬۰۰۰٬۰۰۰']
['۱۱٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۸۰٬۰۰۰٬۰۰۰']
['۳۳۰٬۰۰۰'],['۱۳۸۷'],True,True,True,['۲۳۰٬۰۰۰٬۰۰۰']
['۳۰۲٬۰۰۰'],['۱۳۸۶'],True,True,True,['۲۲۸٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۳'],True,True,False,['۲۱۰٬۰۰۰٬۰۰۰']
['۳۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۵٬۰۰۰٬۰۰۰']
['۴۲٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۵٬۰۰۰٬۰۰۰']
['۱۷۰٬۰۰۰'],['۱۳۹۱'],True,True,False,['۳۱۰٬۰۰۰٬۰۰۰']
['۱۶۷٬۰۰۰'],['۱۳۸۷'],True,True,True,['۱۱٬۱۱۱٬۱۱۱']
['۳۷۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۱۹۰٬۰۰۰٬۰۰۰']
['۳۲۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۷۷٬۰۰۰٬۰۰۰']
['۵۰۰٬۰۰۰'],['۱۳۸۱'],False,False,False,['۱۴۰٬۰۰۰٬۰۰۰']
['۳۰۰٬۰۰۰'],['۱۳۸۹'],False,False,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۹٬۸۰۰'],['۱۴۰۱'],True,True,True,['۴۷۵٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۶۰٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۵۰٬۰۰۰٬۰۰۰']
['۶۵٬۰۰۰'],['۱۳۹۵'],True,True,True,['۳۳۰٬۰۰۰٬۰۰۰']
['۱۷۰٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۷۳٬۰۰۰٬۰۰۰']
['۵۵٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۷۵٬۰۰۰٬۰۰۰']
['۷۱٬۰۰۰'],['۱۳۹۶'],True,True,True,['۳۵۵٬۰۰۰٬۰۰۰']
['۲۰۰'],['۱۴۰۱'],True,True,True,['۴۸۰٬۰۰۰٬۰۰۰']
['۱۲۷٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۰۸٬۰۰۰'],['۱۳۹۰'],False,False,True,['۲۱۵٬۰۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۰٬۰۰۰٬۰۰۰']
['۱٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۹۰٬۰۰۰٬۰۰۰']
['۱۶۸٬۵۰۰'],['۱۳۹۶'],True,True,False,['۳۷۰٬۰۰۰٬۰۰۰']
['۳۱۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۸۹٬۵۰۰٬۰۰۰']
['۲۷۰٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۵۰٬۰۰۰٬۰۰۰']
['۳۸۰٬۰۰۰'],['۱۳۸۵'],True,True,False,['۲۰۵٬۰۰۰٬۰۰۰']
['۴۷۱٬۰۸۶'],['۱۳۸۲'],True,True,True,['۱۲٬۳۴۵٬۶۷۸']
['۲۱۴٬۰۰۰'],['۱۳۸۸'],True,True,True,['۲۶۵٬۰۰۰٬۰۰۰']
['۴۷٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۵٬۰۰۰٬۰۰۰']
['۱۴۰٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۳۵٬۰۰۰٬۰۰۰']
['۲۵۰٬۰۰۰'],['۱۳۸۴'],True,True,True,['۲۲۲٬۰۰۰٬۰۰۰']
['۱۸۹٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۸۵٬۰۰۰٬۰۰۰']
['۲۷٬۰۰۰'],['۱۴۰۱'],True,True,False,['۴۷۵٬۰۰۰٬۰۰۰']
['۸۰٬۰۰۰'],['۱۳۸۹'],True,True,False,['۳۴۰٬۰۰۰٬۰۰۰']
['۲۳۵٬۰۰۰'],['۱۳۸۴'],True,True,True,['۲۱۸٬۰۰۰٬۰۰۰']
['۸۴٬۰۰۰'],['۱۳۹۴'],True,True,True,['۳۱۵٬۰۰۰٬۰۰۰']
['۲۳۵٬۰۰۰'],['۱۳۸۵'],True,True,True,['۱۹۸٬۰۰۰٬۰۰۰']
['۱۸۲٬۰۰۰'],['۱۳۸۹'],True,True,True,['۲۷۳٬۰۰۰٬۰۰۰']
['۷۷٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۶٬۰۰۰٬۰۰۰']
['۳۶٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۳۰٬۰۰۰٬۰۰۰']
['۳۴۵٬۴۸۶'],['۱۳۸۴'],True,True,True,['۲۲۰٬۰۰۰٬۰۰۰']
['۴۰٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰ تومانفروش اقساطیحداقل مبلغ پیش\u200cپرداخت۲۵۰٬۰۰۰٬۰۰۰']
['۷۵٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۳۰٬۰۰۰٬۰۰۰']
['۱۳٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۵۰٬۰۰۰٬۰۰۰']
['۷۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۳۱۲٬۰۰۰٬۰۰۰']
['۴۳٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۳۰٬۰۰۰٬۰۰۰']
['۱۱۷٬۰۰۰'],['۱۳۹۶'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۳ روز پیش در تهران، ارمزنگ خطرهای قبل از معاملهاطلاعات تماس چت کارکرد۱٬۰۰۰'],['۱۳۹۸'],True,True,False,['۴۲۰٬۰۰۰٬۰۰۰']
['۲۰٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۵۳٬۰۰۰٬۰۰۰']
['۳۱۰٬۰۰۰'],['۱۳۸۸'],False,False,True,['۲۳۵٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۳۰۰٬۰۰۰٬۰۰۰']
['۲۶۷٬۰۰۰'],['۱۳۸۹'],True,True,False,['۲۷۰٬۰۰۰٬۰۰۰']
['۶۹٬۰۰۰'],['۱۳۹۸'],True,True,True,['۴۰۸٬۰۰۰٬۰۰۰']
['۳۲٬۰۰۰'],['۱۴۰۰'],True,True,True,['۴۲۷٬۰۰۰٬۰۰۰']
['۳۸۰٬۰۰۰'],['۱۳۸۸'],True,True,False,['۲۵۵٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۲'],True,True,True,['۱۹۵٬۰۰۰٬۰۰۰']
['۲۴٬۰۰۰'],['۱۳۹۹'],True,True,False,['۴۳۵٬۰۰۰٬۰۰۰']
['۲۰۰٬۰۰۰'],['۱۳۹۰'],False,False,False,['۲۴۵٬۰۰۰٬۰۰۰']
['۶۳٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۵٬۰۰۰٬۰۰۰']
['۷۵٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۷٬۰۰۰'],['۱۳۹۹'],True,True,True,['۴۱۰٬۰۰۰٬۰۰۰']
['۴۰٬۰۰۰'],['۱۳۹۸'],True,True,True,['۲۲۵٬۰۰۰٬۰۰۰']
['۲۴٬۰۰۰'],['۱۳۹۷'],True,True,True,['۳۷۰٬۰۰۰٬۰۰۰']
['۲۶۰٬۰۰۰'],['۱۳۸۳'],True,True,True,['۲۱۰٬۰۰۰٬۰۰۰']
['۲۴۰٬۰۰۰'],['۱۳۸۶'],False,True,True,['۲۱۹٬۰۰۰٬۰۰۰']
['۱۸۲٬۰۰۰'],['۱۳۸۲'],True,True,True,['۲۹۰٬۰۰۰٬۰۰۰']
['۰'],['۱۴۰۱'],True,True,True,['۱۱۱٬۱۱۱٬۱۱۱']
['۶۷٬۰۰۰'],['۱۳۹۸'],True,True,True,['۳۸۰٬۰۰۰٬۰۰۰']
['۲۲۰٬۰۰۰'],['۱۳۸۹'],True,True,False,['۲۸۵٬۰۰۰٬۰۰۰']
